date,open,high,low,close
2024-09-12,30485.63,30689.9,30471.66,30497.83
2024-09-16,30497.83,30711.86,30258.7,30260.24
2024-09-17,30260.24,30459.87,30126.74,30159.15
2024-09-18,30159.15,30360.47,30096.97,30342.46
2024-09-19,30342.46,30937.69,30342.46,30937.69
2024-09-22,30937.69,31161.15,30937.69,31038.41
2024-09-23,31038.41,31202.71,30944.45,31022.54
2024-09-24,31022.54,31087.83,30818.94,30871.1
2024-09-25,30871.1,31250.64,30871.1,31250.64
2024-09-26,31250.64,31475.03,31205.35,31276.91
2024-09-29,31276.91,31580.62,31276.91,31459.09
2024-09-30,31459.09,31720.84,31444.57,31587.04
2024-10-01,31587.04,31915.26,31587.04,31866.06
2024-10-02,31866.06,31866.06,31253.63,31332.73
2024-10-03,31332.73,31720.5,31332.73,31720.5
2024-10-07,31720.5,32184.68,31720.5,31819.16
2024-10-08,31819.16,31820.56,30453.6,30851.63
2024-10-09,30851.63,31206.34,30654.7,31175.43
2024-10-10,31175.43,31332.83,30762.32,30762.32
2024-10-13,30762.32,30884.12,29795.11,29954.12
2024-10-14,29954.12,30343.53,29676.93,30273.06
2024-10-15,30273.06,30620.5,30273.06,30584.24
2024-10-16,30584.24,31039.77,30545.11,30545.11
2024-10-17,30545.11,30604.91,30100.35,30143.86
2024-10-20,30143.86,30287.25,29528.79,29528.79
2024-10-21,29528.79,30445.2,29180.44,30445.2
2024-10-22,30445.2,30537.27,30220.55,30427.35
2024-10-23,30427.35,30587.73,30327.55,30414.05
2024-10-24,30414.05,30627.3,30359.83,30552.82
2024-10-27,30552.82,30904.96,30552.82,30812.23
2024-10-28,30812.23,30980.91,30634.32,30773.53
2024-10-29,30773.53,30856.05,30527.47,30619.96
2024-10-30,30619.96,30725.27,30371.26,30371.26
2024-10-31,30371.26,30732.59,30371.26,30658.0
2024-11-03,30658.0,30978.78,30658.0,30833.13
2024-11-04,30833.13,31074.49,30650.04,30650.04
2024-11-05,30650.04,30820.95,30650.04,30793.94
2024-11-06,30793.94,31120.58,30793.94,31045.26
2024-11-07,31045.26,31370.65,31045.26,31267.47
2024-11-10,31267.47,31514.62,31267.47,31394.33
2024-11-11,31394.33,31621.29,31394.33,31621.29
2024-11-12,31621.29,31799.44,31489.03,31582.39
2024-11-13,31582.39,31687.73,31424.67,31433.01
2024-11-14,31433.01,31582.09,31433.01,31462.21
2024-11-17,31462.21,31492.51,31205.36,31252.07
2024-11-18,31252.07,31359.65,30864.34,30864.34
2024-11-19,30864.34,30898.74,30688.3,30688.3
2024-11-20,30688.3,30783.53,30503.57,30587.99
2024-11-21,30587.99,30795.3,30587.99,30631.8
2024-11-24,30631.8,30779.96,30397.22,30397.22
2024-11-25,30397.22,30585.38,30169.38,30270.51
2024-11-26,30270.51,30351.88,30167.29,30284.35
2024-11-27,30284.35,30300.75,29846.04,29846.04
2024-11-28,29846.04,30242.13,29763.65,30242.13
2024-12-01,30242.13,30502.15,30242.13,30497.13
2024-12-02,30497.13,30675.44,30429.45,30525.32
2024-12-03,30525.32,30642.46,30525.32,30628.74
2024-12-04,30628.74,31005.17,30628.74,30832.61
2024-12-05,30832.61,31035.14,30824.25,30839.57
2024-12-08,30839.57,31232.73,30839.57,31060.51
2024-12-09,31060.51,31185.24,30977.11,31005.12
2024-12-10,31005.12,31067.1,30617.83,30617.83
2024-12-11,30617.83,30807.78,30581.63,30739.26
2024-12-12,30739.26,30879.01,30739.26,30795.09
2024-12-15,30795.09,30835.57,30621.08,30776.0
2024-12-16,30776.0,30918.19,30682.68,30799.43
2024-12-17,30799.43,30932.81,30601.64,30601.64
2024-12-18,30601.64,30807.41,30452.01,30503.07
2024-12-19,30503.07,30528.42,30211.82,30526.71
2024-12-22,30526.71,30626.63,30372.7,30372.7
2024-12-23,30372.7,30443.89,30118.38,30118.38
2024-12-24,30118.38,30165.45,29810.4,29973.15
2024-12-25,29973.15,30164.71,29973.15,30005.0
2024-12-26,30005.0,30039.6,29937.24,29957.97
2024-12-29,29957.97,30033.84,29594.48,29594.48
2024-12-30,29594.48,29700.82,29237.94,29325.2
2024-12-31,29325.2,29740.58,29325.2,29740.58
2025-01-02,29740.58,30127.45,29740.58,30060.48
2025-01-05,30060.48,30279.95,30059.96,30183.61
2025-01-06,30183.61,30238.27,29908.35,29929.64
2025-01-08,29929.64,29950.54,29669.41,29785.91
2025-01-09,29785.91,29894.5,29444.65,29444.65
2025-01-12,29444.65,29444.65,28969.26,29277.45
